,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
77,"Movements to alleviate inequalities constitute important cultural and political interventions globally. This course examines advocacy practices to create and sustain social movements and political struggles. Cases included grassroots advocacy, NGOs, transnational and technological activism; environmental justice; human rights; gender, ethnic and sexual rights; consumption and globalization; democratization and neoliberalism. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=429&p_subj=ANTH,N,2,Activism And Social Movements
78,"This class examines how the concept of ""translation"" can be used to understand the movement of regulations around our globalized world. It is designed as a research experience that will give students the opportunity to conduct archival research, produce annotated bibliographies, and conduct a literature review with an interdisciplinary approach that combines the social sciences and humanities. This is a hands on lab that will benefit students who are interested in the law from a social perspective and interdisciplinary thinking and research methods. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=440&p_subj=ANTH,N,1,Regulatory Translations Lab
79,"This course explores how human bodies and biomedical 'facts' are culturally constructed with respect to race and ethnicity, and examines how these constructs variably impact experiences of health, well-being and illness.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=443&p_subj=ANTH,N,2,Race Ethnicity And Health
80,"This seminar takes psychiatric practice as an object of anthropological investigation. It explores the ways in which emotional suffering and therapeutic systems are constituted within various social, cultural, and historical contexts. Topics include affect, anxiety, psychosis, and somatization in cross-cultural perspective; diagnostic standardization; the cultural history of psychiatry; institutionalization and deinstitutionalization; psychiatric professionalization; the globalization of Western psychiatric practice; and critical anti-psychiatry movements.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=444&p_subj=ANTH,N,2,Culture And Mental Illness
81,Seminar on contemporary research on the biomedical aspects of human health and disease. Includes topics from medical ecology and epidemiology.,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=446&p_subj=ANTH,N,1,Advanced Biomedical Anthropology
82,"The course explores the strategies of representation, the methodologies, and the diagnostic categories to which anthropologists have resorted in coming to terms with such phenomena as rationalization, economic and informational globalization, and the commodification of culture. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=447&p_subj=ANTH,N,0,Modern Ethnography
83,"What is ""sexuality"" across cultural milieux? This course analyzes understandings and practices of sexuality from a global, comparative perspective, including different social configurations of gender and intimacy, reproduction, sensuality and the erotic. Case studies explore the complex relationships between sexuality and gender, ethnicity, nationalism, globalization, commodification, politics, media, health and medicine. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=449&p_subj=ANTH,N,1,Cultures Of Sexuality
84,This class will offer students concepts and methodological resources to conduct their own research projects on water related issues from an anthropological perspective. It will include reading materials and fieldwork according to each student’s project specificities. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=451&p_subj=ANTH,N,2,The Anthropology Of Water
85,"Drawing on ethnography and social theory, this course develops analytics attuned to the socialities, intimacies, temporalities, and forms of ethic that emerge in the precarious spaces of liberal and democratic violence and failure. In refugee camps or climate catastrophes, in a queer present or under enduring legacies, what happens if we think the social with hope and futurity in abeyance? ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=453&p_subj=ANTH,N,1,Collateral Afterworlds
86,"his course examines the policies and politics of heritage management from a global perspective. We examine how different nations define, protect, and manage heritage resources. Case studies will present debates over the meaning and interpretation of cultural heritage and illustrate connections between heritage and such issues as nationalism and identity. The graduate level course will engage students at a more advanced theoretical level through additional reading assignments and an additional paper. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=456&p_subj=ANTH,N,1,Heritage Management
87, Seminar providing in-depth consideration of the later prehistoric archaeology (late Stone Age and Iron Age) of the West African subcontinent.,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=463&p_subj=ANTH,N,0,West African Prehistory
88,"Overview of the history of documentary and ethnographic cinema from a worldwide perspective. Includes both canonical and alternative films and film movements, with emphasis on the shifting and overlapping of boundaries of fiction and nonfiction genres. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=483&p_subj=ANTH,N,0,Documentary And Ethnographic Film
89, An introduction to the history of anthropology and its theories and methods. The emphasis is upon social and cultural anthropology.,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=506&p_subj=ANTH,N,1,History Of Anthropological Ideas
90,"A sequel to ANTH 306/506, the course explores turns and trends in sociocultural research and critique during the past half-century. Special attention is paid to the rise and fall of structuralism, the problematization of ""the primitive"" and the proliferation of theories of ""practice.""
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=507&p_subj=ANTH,N,0,Anthro From 2Nd Ww To Present
91,"Examines cultural transformations in the late- and post-socialist societies of East-Central Europe, the former Soviet Union, and Asia. Explores everyday discourses and practices through which new forms of property, selfhood, nationalism, and the state are emerging, and the legacy of cold war politics for ethnographic representation of these societies.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=613&p_subj=ANTH,N,1,Culture After Communism
92,"Development of interactional competence in Arabic (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Arabic. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition. No prior knowledge of this language is necessary.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=ARAB,N,0,First Year Arabic I
93,"Continuation of ARAB 141. Development of interactional competence in Arabic (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Arabic. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=ARAB,N,0,First Year Arabic Ii
